wavelength (nm),n_o,k_o,n_e,k_e
886.3909382,2.809043,0.047521,2.53913,0.037338
887.9665796,2.808702,0.047431,2.538858,0.037293
889.5420886,2.808364,0.047341,2.538589,0.037249
891.1174341,2.808028,0.047252,2.53832,0.037204
892.6925845,2.807693,0.047163,2.538054,0.03716
894.2681531,2.807361,0.047074,2.53779,0.037115
895.8428202,2.80703,0.046985,2.537527,0.037071
897.4178461,2.806701,0.046897,2.537266,0.037026
898.9925534,2.806374,0.046809,2.537006,0.036982
900.5675635,2.806049,0.046722,2.536749,0.036938
902.1415379,2.805726,0.046635,2.536493,0.036893
903.7157539,2.805405,0.046548,2.536238,0.036849
905.2901854,2.805085,0.046461,2.535985,0.036804
906.8641425,2.804767,0.046375,2.535734,0.03676
908.4382572,2.804451,0.046289,2.535485,0.036715
910.0125025,2.804137,0.046203,2.535237,0.036671
911.5861812,2.803825,0.046118,2.53499,0.036626
913.1592591,2.803514,0.046033,2.534745,0.036582
914.7330513,2.803205,0.045948,2.534502,0.036537
916.3061828,2.802897,0.045864,2.53426,0.036492
917.8792983,2.802592,0.045779,2.53402,0.036447
919.4523696,2.802288,0.045695,2.533781,0.036403
921.0253686,2.801985,0.045612,2.533543,0.036358
922.5982666,2.801684,0.045528,2.533307,0.036313
924.1703463,2.801385,0.045445,2.533072,0.036268
925.7429541,2.801087,0.045362,2.532839,0.036223
927.3153745,2.800791,0.045279,2.532607,0.036177
928.8875783,2.800497,0.045197,2.532376,0.036132
930.459536,2.800204,0.045115,2.532147,0.036087
932.031218,2.799912,0.045033,2.531919,0.036041
933.6032975,2.799622,0.044951,2.531692,0.035996
935.1750463,2.799334,0.04487,2.531466,0.03595
936.7464342,2.799047,0.044789,2.531241,0.035904
938.3174309,2.798761,0.044708,2.531018,0.035859
939.8887182,2.798477,0.044627,2.530796,0.035813
941.4595576,2.798194,0.044546,2.530575,0.035767
943.0306357,2.797913,0.044466,2.530355,0.035721
944.6012086,2.797633,0.044386,2.530137,0.035675
946.1719673,2.797355,0.044307,2.529919,0.035629
947.7428874,2.797078,0.044227,2.529703,0.035583
949.3124907,2.796802,0.044148,2.529488,0.035537
950.882926,2.796527,0.044069,2.529274,0.035491
952.4527124,2.796254,0.04399,2.52906,0.035445
954.0232858,2.795983,0.043912,2.528848,0.035399
955.5924187,2.795712,0.043833,2.528637,0.035352
957.1622882,2.795443,0.043755,2.528427,0.035306
958.7313934,2.795175,0.043678,2.528218,0.03526
960.3011888,2.794909,0.0436,2.52801,0.035214
961.8701636,2.794643,0.043523,2.527803,0.035168
963.439033,2.794379,0.043446,2.527596,0.035122
965.0077709,2.794116,0.043369,2.527391,0.035076
966.5771045,2.793855,0.043293,2.527187,0.035029
968.1455027,2.793595,0.043217,2.526984,0.034983
969.71369,2.793336,0.043141,2.526782,0.034937
971.2824003,2.793078,0.043065,2.52658,0.034891
972.8500874,2.792821,0.042989,2.52638,0.034845
974.4182485,2.792565,0.042914,2.52618,0.034799
975.9860951,2.792311,0.042839,2.525982,0.034753
977.5536,2.792058,0.042764,2.525784,0.034707
979.1207354,2.791806,0.04269,2.525587,0.034661
980.6882493,2.791555,0.042615,2.525391,0.034615
982.2553429,2.791305,0.042541,2.525196,0.03457
983.8227687,2.791057,0.042468,2.525002,0.034524
985.3897228,2.790809,0.042394,2.524808,0.034478
986.9561767,2.790563,0.042321,2.524616,0.034433
988.52289,2.790317,0.042248,2.524424,0.034387
990.0898413,2.790073,0.042175,2.524233,0.034341
991.655423,2.78983,0.042102,2.524043,0.034296
993.2219854,2.789588,0.04203,2.523854,0.034251
